Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Age_Band,Device_Type_Category,Screen_Time_Category,weekday_flag,Usage_Balance_Category,Health_Risk_Level,Educational_Time_hr,Recreational_Time_hr,Educational_Time_Actual,Recreational_Time_Actual
15,Male,3.83,Smartphone,True,0.42,Poor Sleep,Urban,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.1328169014084508,2.697183098591549,1 hr 8 min,2 hr 42 min
18,Male,4.13,Smartphone,True,0.33,Poor Sleep,Rural,Senior Teen,Portable,High,weekday,Mostly Recreational,Moderate Risk,1.0247368421052632,3.1052631578947367,1 hr 1 min,3 hr 6 min
18,Female,3.99,Smartphone,True,0.41,Eye Strain,Rural,Senior Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.1602127659574468,2.8297872340425534,1 hr 10 min,2 hr 50 min
9,Male,0.0,Tablet,False,0.44,No Health Impact,Urban,Child,Portable,Low,weekday,Mostly Recreational,Moderate Risk,0.0,0.0,0 hr 0 min,0 hr 0 min
12,Male,3.54,TV,True,0.34,"Poor Sleep, Eye Strain",Urban,Pre-Teen,Other,Moderate,weekday,Mostly Recreational,High Risk,0.8982089552238806,2.6417910447761193,0 hr 54 min,2 hr 39 min
8,Female,2.4,TV,True,0.44,No Health Impact,Urban,Child,Other,Moderate,weekday,Mostly Recreational,Moderate Risk,0.7333333333333334,1.6666666666666665,0 hr 44 min,1 hr 40 min
8,Male,5.51,Smartphone,True,0.6,"Poor Sleep, Obesity Risk",Rural,Child,Portable,High,weekend,Balanced,High Risk,2.0662499999999997,3.44375,2 hr 4 min,3 hr 27 min
12,Male,4.68,Tablet,True,0.42,"Poor Sleep, Eye Strain, Obesity Risk",Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.384225352112676,3.295774647887324,1 hr 23 min,3 hr 18 min
10,Male,4.05,TV,True,0.42,Poor Sleep,Urban,Pre-Teen,Other,High,weekday,Mostly Recreational,Moderate Risk,1.1978873239436618,2.852112676056338,1 hr 12 min,2 hr 51 min
11,Female,3.97,Smartphone,True,0.36,Eye Strain,Rural,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.0508823529411766,2.9191176470588234,1 hr 3 min,2 hr 55 min
10,Male,9.2,Smartphone,True,0.48,Eye Strain,Urban,Pre-Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,2.9837837837837835,6.216216216216216,2 hr 59 min,6 hr 13 min
8,Male,3.93,Smartphone,True,0.43,No Health Impact,Urban,Child,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.1817482517482518,2.7482517482517483,1 hr 11 min,2 hr 45 min
8,Female,0.0,Smartphone,False,0.55,No Health Impact,Urban,Child,Portable,Low,weekday,Balanced,Moderate Risk,0.0,0.0,0 hr 0 min,0 hr 0 min
12,Female,3.15,Tablet,True,0.38,"Poor Sleep, Anxiety",Urban,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,High Risk,0.8673913043478262,2.282608695652174,0 hr 52 min,2 hr 17 min
13,Male,2.42,Laptop,False,0.4,No Health Impact,Urban,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.6914285714285715,1.7285714285714284,0 hr 41 min,1 hr 44 min
10,Female,0.66,Smartphone,False,0.54,No Health Impact,Urban,Pre-Teen,Portable,Low,weekday,Balanced,Moderate Risk,0.23142857142857146,0.4285714285714286,0 hr 14 min,0 hr 26 min
16,Female,1.92,Smartphone,False,0.38,No Health Impact,Urban,Teen,Portable,Low,weekday,Mostly Recreational,Moderate Risk,0.5286956521739131,1.391304347826087,0 hr 32 min,1 hr 23 min
12,Male,4.46,Laptop,True,0.3,Poor Sleep,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.0292307692307692,3.430769230769231,1 hr 2 min,3 hr 26 min
15,Male,5.57,Smartphone,True,0.44,Eye Strain,Rural,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.7019444444444445,3.868055555555556,1 hr 42 min,3 hr 52 min
8,Male,6.76,Tablet,True,0.48,"Poor Sleep, Eye Strain",Urban,Child,Portable,Very High,weekend,Mostly Recreational,High Risk,2.1924324324324322,4.5675675675675675,2 hr 12 min,4 hr 34 min
12,Male,5.69,Smartphone,True,0.43,"Poor Sleep, Eye Strain, Obesity Risk",Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.7109790209790212,3.979020979020979,1 hr 43 min,3 hr 59 min
10,Male,4.51,Tablet,True,0.44,No Health Impact,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.3780555555555556,3.131944444444444,1 hr 23 min,3 hr 8 min
8,Female,2.9,Smartphone,True,0.56,No Health Impact,Urban,Child,Portable,Moderate,weekday,Balanced,Moderate Risk,1.041025641025641,1.8589743589743588,1 hr 2 min,1 hr 52 min
11,Male,3.35,Smartphone,True,0.44,Poor Sleep,Rural,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.023611111111111,2.3263888888888893,1 hr 1 min,2 hr 20 min
12,Male,5.82,TV,True,0.45,"Poor Sleep, Eye Strain, Anxiety",Urban,Pre-Teen,Other,High,weekend,Mostly Recreational,High Risk,1.8062068965517244,4.0137931034482754,1 hr 48 min,4 hr 1 min
14,Male,5.09,TV,True,0.43,Poor Sleep,Urban,Teen,Other,High,weekend,Mostly Recreational,Moderate Risk,1.5305594405594405,3.559440559440559,1 hr 32 min,3 hr 34 min
8,Female,5.49,TV,True,0.46,"Poor Sleep, Obesity Risk",Rural,Child,Other,High,weekend,Mostly Recreational,High Risk,1.7297260273972606,3.7602739726027394,1 hr 44 min,3 hr 46 min
10,Male,4.1,Tablet,True,0.45,"Poor Sleep, Obesity Risk",Urban,Pre-Teen,Portable,High,weekday,Mostly Recreational,High Risk,1.2724137931034483,2.8275862068965516,1 hr 16 min,2 hr 50 min
9,Male,6.83,Smartphone,True,0.56,"Poor Sleep, Eye Strain",Rural,Child,Portable,Very High,weekend,Balanced,High Risk,2.451794871794872,4.378205128205128,2 hr 27 min,4 hr 23 min
16,Male,4.1,TV,True,0.49,No Health Impact,Rural,Teen,Other,High,weekday,Mostly Recreational,Moderate Risk,1.3483221476510066,2.751677852348993,1 hr 21 min,2 hr 45 min
17,Female,2.9,Laptop,False,0.35,No Health Impact,Urban,Senior Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.7518518518518518,2.148148148148148,0 hr 45 min,2 hr 9 min
13,Male,4.78,Smartphone,True,0.46,"Poor Sleep, Anxiety",Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.5060273972602742,3.2739726027397262,1 hr 30 min,3 hr 16 min
17,Female,5.69,Smartphone,True,0.33,No Health Impact,Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.4118045112781956,4.2781954887218046,1 hr 25 min,4 hr 17 min
10,Male,6.33,Tablet,True,0.5,Poor Sleep,Urban,Pre-Teen,Portable,Very High,weekend,Balanced,Moderate Risk,2.11,4.220000000000001,2 hr 7 min,4 hr 13 min
15,Male,3.14,TV,True,0.37,Anxiety,Urban,Teen,Other,Moderate,weekday,Mostly Recreational,Moderate Risk,0.8480291970802919,2.291970802919708,0 hr 51 min,2 hr 18 min
15,Male,5.56,Laptop,True,0.31,"Poor Sleep, Obesity Risk",Urban,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.3157251908396945,4.244274809160305,1 hr 19 min,4 hr 15 min
9,Male,3.11,Smartphone,True,0.47,Anxiety,Urban,Child,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.9943537414965985,2.1156462585034013,0 hr 60 min,2 hr 7 min
13,Male,4.9,TV,True,0.38,"Poor Sleep, Obesity Risk",Urban,Pre-Teen,Other,High,weekend,Mostly Recreational,High Risk,1.3492753623188407,3.5507246376811596,1 hr 21 min,3 hr 33 min
14,Male,6.39,Tablet,True,0.4,"Poor Sleep, Anxiety",Urban,Teen,Portable,Very High,weekend,Mostly Recreational,High Risk,1.8257142857142858,4.564285714285714,1 hr 50 min,4 hr 34 min
9,Male,1.38,Smartphone,False,0.52,No Health Impact,Urban,Child,Portable,Low,weekday,Balanced,Moderate Risk,0.47210526315789475,0.9078947368421051,0 hr 28 min,0 hr 54 min
18,Male,7.75,Tablet,True,0.34,No Health Impact,Urban,Senior Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,1.9664179104477613,5.7835820895522385,1 hr 58 min,5 hr 47 min
17,Female,5.12,Smartphone,True,0.3,Poor Sleep,Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.1815384615384614,3.9384615384615387,1 hr 11 min,3 hr 56 min
9,Female,2.31,Smartphone,True,0.59,No Health Impact,Urban,Child,Portable,Moderate,weekday,Balanced,Moderate Risk,0.8571698113207548,1.4528301886792452,0 hr 51 min,1 hr 27 min
17,Female,5.34,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.70734693877551,3.63265306122449,1 hr 42 min,3 hr 38 min
8,Male,7.91,Smartphone,True,0.58,Poor Sleep,Urban,Child,Portable,Very High,weekend,Balanced,Moderate Risk,2.903670886075949,5.0063291139240516,2 hr 54 min,5 hr 0 min
15,Female,4.46,Tablet,True,0.32,"Poor Sleep, Eye Strain",Rural,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.081212121212121,3.378787878787879,1 hr 5 min,3 hr 23 min
8,Male,2.02,Smartphone,True,0.57,No Health Impact,Urban,Child,Portable,Moderate,weekday,Balanced,Moderate Risk,0.733375796178344,1.286624203821656,0 hr 44 min,1 hr 17 min
16,Male,4.92,Smartphone,True,0.47,Poor Sleep,Rural,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.573061224489796,3.3469387755102042,1 hr 34 min,3 hr 21 min
18,Male,4.64,Smartphone,True,0.46,Poor Sleep,Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.461917808219178,3.1780821917808217,1 hr 28 min,3 hr 11 min
13,Male,3.55,TV,True,0.34,"Poor Sleep, Eye Strain",Rural,Pre-Teen,Other,Moderate,weekday,Mostly Recreational,High Risk,0.9007462686567164,2.6492537313432836,0 hr 54 min,2 hr 39 min
14,Female,5.04,Smartphone,True,0.38,Poor Sleep,Urban,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.3878260869565218,3.6521739130434785,1 hr 23 min,3 hr 39 min
17,Male,2.91,Tablet,False,0.34,No Health Impact,Rural,Senior Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.738358208955224,2.171641791044776,0 hr 44 min,2 hr 10 min
14,Male,4.64,Smartphone,True,0.44,"Poor Sleep, Anxiety",Rural,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.4177777777777778,3.222222222222222,1 hr 25 min,3 hr 13 min
17,Female,4.68,Tablet,True,0.38,"Poor Sleep, Eye Strain",Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.288695652173913,3.391304347826087,1 hr 17 min,3 hr 23 min
10,Female,6.09,TV,True,0.47,"Eye Strain, Anxiety, Obesity Risk",Rural,Pre-Teen,Other,Very High,weekend,Mostly Recreational,High Risk,1.947142857142857,4.142857142857142,1 hr 57 min,4 hr 9 min
9,Female,4.12,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Rural,Child,Portable,High,weekday,Mostly Recreational,High Risk,1.3172789115646257,2.8027210884353746,1 hr 19 min,2 hr 48 min
16,Female,5.29,TV,True,0.5,Anxiety,Rural,Teen,Other,High,weekend,Balanced,Moderate Risk,1.7633333333333334,3.5266666666666664,1 hr 46 min,3 hr 32 min
15,Male,4.03,Smartphone,True,0.38,Poor Sleep,Rural,Teen,Portable,High,weekday,Mostly Recreational,Moderate Risk,1.1097101449275364,2.920289855072464,1 hr 7 min,2 hr 55 min
17,Male,5.44,Laptop,True,0.36,"Eye Strain, Anxiety",Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.4400000000000002,4.0,1 hr 26 min,4 hr 0 min
14,Male,4.94,Smartphone,True,0.41,No Health Impact,Urban,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.4364539007092199,3.5035460992907805,1 hr 26 min,3 hr 30 min
16,Female,3.95,Laptop,True,0.41,No Health Impact,Urban,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.148581560283688,2.801418439716312,1 hr 9 min,2 hr 48 min
11,Female,3.28,Smartphone,True,0.36,Poor Sleep,Urban,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.868235294117647,2.411764705882353,0 hr 52 min,2 hr 25 min
11,Female,4.39,Smartphone,True,0.37,Poor Sleep,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.185620437956204,3.204379562043796,1 hr 11 min,3 hr 12 min
8,Female,1.87,Smartphone,False,0.59,No Health Impact,Urban,Child,Portable,Low,weekday,Balanced,Moderate Risk,0.6938993710691824,1.1761006289308176,0 hr 42 min,1 hr 11 min
15,Male,3.07,Smartphone,True,0.46,No Health Impact,Urban,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.9672602739726027,2.102739726027397,0 hr 58 min,2 hr 6 min
10,Male,0.96,TV,False,0.54,No Health Impact,Urban,Pre-Teen,Other,Low,weekday,Balanced,Moderate Risk,0.3366233766233766,0.6233766233766234,0 hr 20 min,0 hr 37 min
14,Male,3.82,Smartphone,True,0.31,Poor Sleep,Urban,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.9039694656488548,2.916030534351145,0 hr 54 min,2 hr 55 min
9,Female,0.26,TV,False,0.55,No Health Impact,Rural,Child,Other,Low,weekday,Balanced,Moderate Risk,0.09225806451612904,0.16774193548387095,0 hr 6 min,0 hr 10 min
9,Male,3.21,Smartphone,True,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban,Child,Portable,Moderate,weekday,Mostly Recreational,High Risk,0.9962068965517242,2.2137931034482756,0 hr 60 min,2 hr 13 min
14,Female,5.15,Tablet,True,0.36,"Poor Sleep, Eye Strain, Anxiety",Urban,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.3632352941176473,3.7867647058823533,1 hr 22 min,3 hr 47 min
13,Male,4.86,Smartphone,True,0.48,"Eye Strain, Obesity Risk",Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.5762162162162163,3.283783783783784,1 hr 35 min,3 hr 17 min
10,Male,5.88,TV,True,0.41,Anxiety,Urban,Pre-Teen,Other,High,weekend,Mostly Recreational,Moderate Risk,1.709787234042553,4.170212765957447,1 hr 43 min,4 hr 10 min
16,Male,4.29,Tablet,True,0.46,Poor Sleep,Urban,Teen,Portable,High,weekday,Mostly Recreational,Moderate Risk,1.3516438356164384,2.9383561643835616,1 hr 21 min,2 hr 56 min
17,Male,6.13,TV,True,0.39,Eye Strain,Urban,Senior Teen,Other,Very High,weekend,Mostly Recreational,Moderate Risk,1.7199280575539566,4.410071942446043,1 hr 43 min,4 hr 25 min
13,Female,4.53,Laptop,True,0.5,No Health Impact,Urban,Pre-Teen,Portable,High,weekend,Balanced,Moderate Risk,1.51,3.0200000000000005,1 hr 31 min,3 hr 1 min
17,Female,6.49,TV,True,0.37,"Poor Sleep, Eye Strain, Obesity Risk",Rural,Senior Teen,Other,Very High,weekend,Mostly Recreational,High Risk,1.7527737226277371,4.7372262773722635,1 hr 45 min,4 hr 44 min
17,Male,4.61,Laptop,True,0.33,Poor Sleep,Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.1438345864661654,3.466165413533835,1 hr 9 min,3 hr 28 min
13,Male,4.04,Tablet,True,0.35,No Health Impact,Urban,Pre-Teen,Portable,High,weekday,Mostly Recreational,Moderate Risk,1.0474074074074073,2.992592592592593,1 hr 3 min,2 hr 60 min
8,Male,4.31,TV,True,0.46,Eye Strain,Urban,Child,Other,High,weekday,Mostly Recreational,Moderate Risk,1.357945205479452,2.9520547945205475,1 hr 21 min,2 hr 57 min
11,Male,4.55,TV,True,0.43,"Poor Sleep, Eye Strain",Rural,Pre-Teen,Other,High,weekend,Mostly Recreational,High Risk,1.3681818181818182,3.1818181818181817,1 hr 22 min,3 hr 11 min
17,Male,4.76,Smartphone,True,0.46,"Poor Sleep, Obesity Risk",Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.4997260273972604,3.2602739726027394,1 hr 30 min,3 hr 16 min
13,Female,4.08,Smartphone,True,0.39,Obesity Risk,Urban,Pre-Teen,Portable,High,weekday,Mostly Recreational,Moderate Risk,1.144748201438849,2.935251798561151,1 hr 9 min,2 hr 56 min
13,Female,5.54,TV,True,0.42,Poor Sleep,Rural,Pre-Teen,Other,High,weekend,Mostly Recreational,Moderate Risk,1.6385915492957748,3.901408450704225,1 hr 38 min,3 hr 54 min
18,Female,6.81,Laptop,True,0.4,No Health Impact,Urban,Senior Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,1.945714285714286,4.864285714285714,1 hr 57 min,4 hr 52 min
12,Female,4.05,Smartphone,True,0.42,Poor Sleep,Urban,Pre-Teen,Portable,High,weekday,Mostly Recreational,Moderate Risk,1.1978873239436618,2.852112676056338,1 hr 12 min,2 hr 51 min
8,Female,7.57,Smartphone,True,0.57,Poor Sleep,Urban,Child,Portable,Very High,weekend,Balanced,Moderate Risk,2.7483439490445862,4.821656050955414,2 hr 45 min,4 hr 49 min
15,Female,4.55,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Rural,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.3681818181818182,3.1818181818181817,1 hr 22 min,3 hr 11 min
12,Male,3.13,Smartphone,True,0.33,"Poor Sleep, Eye Strain",Urban,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,High Risk,0.7766165413533833,2.3533834586466167,0 hr 47 min,2 hr 21 min
12,Female,4.26,TV,True,0.49,"Poor Sleep, Eye Strain",Rural,Pre-Teen,Other,High,weekday,Mostly Recreational,High Risk,1.4009395973154362,2.8590604026845634,1 hr 24 min,2 hr 52 min
14,Male,4.28,TV,True,0.47,Poor Sleep,Urban,Teen,Other,High,weekday,Mostly Recreational,Moderate Risk,1.36843537414966,2.9115646258503403,1 hr 22 min,2 hr 55 min
11,Female,5.24,Smartphone,True,0.32,Poor Sleep,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.2703030303030303,3.9696969696969697,1 hr 16 min,3 hr 58 min
13,Male,3.75,Tablet,True,0.36,Anxiety,Urban,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.9926470588235294,2.7573529411764706,0 hr 60 min,2 hr 45 min
11,Male,4.54,Laptop,True,0.37,Eye Strain,Rural,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.2261313868613137,3.3138686131386863,1 hr 14 min,3 hr 19 min
10,Male,2.79,Smartphone,True,0.59,No Health Impact,Urban,Pre-Teen,Portable,Moderate,weekday,Balanced,Moderate Risk,1.0352830188679245,1.7547169811320755,1 hr 2 min,1 hr 45 min
14,Male,5.67,Smartphone,True,0.35,"Poor Sleep, Eye Strain",Rural,Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.4699999999999998,4.2,1 hr 28 min,4 hr 12 min
15,Female,3.91,Laptop,True,0.49,Poor Sleep,Rural,Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,1.2858389261744967,2.6241610738255035,1 hr 17 min,2 hr 37 min
11,Female,4.55,Laptop,True,0.49,Poor Sleep,Rural,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.4963087248322147,3.053691275167785,1 hr 30 min,3 hr 3 min
9,Male,11.18,Tablet,True,0.52,Eye Strain,Rural,Child,Portable,Very High,weekend,Balanced,Moderate Risk,3.824736842105263,7.355263157894736,3 hr 49 min,7 hr 21 min
17,Female,7.29,Laptop,True,0.49,Poor Sleep,Rural,Senior Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,2.3973825503355704,4.89261744966443,2 hr 24 min,4 hr 54 min
10,Male,2.76,Tablet,True,0.54,No Health Impact,Urban,Pre-Teen,Portable,Moderate,weekday,Balanced,Moderate Risk,0.9677922077922078,1.7922077922077921,0 hr 58 min,1 hr 48 min
8,Female,0.96,Smartphone,False,0.4,No Health Impact,Urban,Child,Portable,Low,weekday,Mostly Recreational,Moderate Risk,0.2742857142857143,0.6857142857142857,0 hr 16 min,0 hr 41 min
15,Female,4.91,Smartphone,True,0.35,No Health Impact,Rural,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.2729629629629629,3.6370370370370373,1 hr 16 min,3 hr 38 min
10,Male,3.23,Tablet,True,0.58,Poor Sleep,Urban,Pre-Teen,Portable,Moderate,weekday,Balanced,Moderate Risk,1.1856962025316455,2.0443037974683547,1 hr 11 min,2 hr 3 min
17,Female,4.71,Smartphone,True,0.39,Eye Strain,Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.3215107913669064,3.3884892086330938,1 hr 19 min,3 hr 23 min
14,Male,3.41,TV,True,0.35,"Poor Sleep, Anxiety",Urban,Teen,Other,Moderate,weekday,Mostly Recreational,High Risk,0.884074074074074,2.525925925925926,0 hr 53 min,2 hr 32 min
17,Female,5.22,Smartphone,True,0.37,"Poor Sleep, Eye Strain",Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.40978102189781,3.81021897810219,1 hr 25 min,3 hr 49 min
12,Female,3.67,Smartphone,True,0.33,"Poor Sleep, Anxiety",Rural,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,High Risk,0.9106015037593985,2.7593984962406015,0 hr 55 min,2 hr 46 min
17,Female,5.45,Tablet,True,0.41,"Eye Strain, Anxiety",Urban,Senior Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.5847517730496457,3.8652482269503547,1 hr 35 min,3 hr 52 min
12,Female,3.6,Laptop,True,0.48,"Poor Sleep, Eye Strain",Rural,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,High Risk,1.1675675675675676,2.4324324324324325,1 hr 10 min,2 hr 26 min
14,Female,4.36,Smartphone,True,0.46,Poor Sleep,Urban,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.3736986301369865,2.986301369863014,1 hr 22 min,2 hr 59 min
16,Male,4.51,Smartphone,True,0.46,Anxiety,Rural,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.420958904109589,3.089041095890411,1 hr 25 min,3 hr 5 min
12,Male,5.6,Laptop,True,0.47,Obesity Risk,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.7904761904761903,3.8095238095238093,1 hr 47 min,3 hr 49 min
8,Male,4.1,Smartphone,True,0.53,"Poor Sleep, Eye Strain",Urban,Child,Portable,High,weekday,Balanced,High Risk,1.4202614379084968,2.6797385620915026,1 hr 25 min,2 hr 41 min
17,Female,5.7,Smartphone,True,0.38,No Health Impact,Rural,Senior Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.5695652173913044,4.130434782608695,1 hr 34 min,4 hr 8 min
17,Female,6.58,Smartphone,True,0.49,No Health Impact,Rural,Senior Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,2.1638926174496644,4.416107382550336,2 hr 10 min,4 hr 25 min
8,Female,7.78,TV,True,0.5,Poor Sleep,Rural,Child,Other,Very High,weekend,Balanced,Moderate Risk,2.5933333333333333,5.186666666666667,2 hr 36 min,5 hr 11 min
9,Male,5.32,TV,True,0.42,Eye Strain,Urban,Child,Other,High,weekend,Mostly Recreational,Moderate Risk,1.5735211267605633,3.746478873239437,1 hr 34 min,3 hr 45 min
13,Male,5.04,Tablet,True,0.33,No Health Impact,Rural,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.2505263157894737,3.7894736842105265,1 hr 15 min,3 hr 47 min
16,Female,5.2,Tablet,True,0.4,Poor Sleep,Rural,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.4857142857142858,3.7142857142857144,1 hr 29 min,3 hr 43 min
15,Female,5.02,TV,True,0.35,Poor Sleep,Urban,Teen,Other,High,weekend,Mostly Recreational,Moderate Risk,1.3014814814814812,3.7185185185185183,1 hr 18 min,3 hr 43 min
12,Female,4.52,TV,True,0.37,Poor Sleep,Urban,Pre-Teen,Other,High,weekend,Mostly Recreational,Moderate Risk,1.220729927007299,3.2992700729927007,1 hr 13 min,3 hr 18 min
8,Male,2.68,TV,True,0.41,No Health Impact,Urban,Child,Other,Moderate,weekday,Mostly Recreational,Moderate Risk,0.779290780141844,1.900709219858156,0 hr 47 min,1 hr 54 min
14,Female,4.91,Smartphone,True,0.4,Obesity Risk,Urban,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.402857142857143,3.507142857142857,1 hr 24 min,3 hr 30 min
12,Male,4.97,Laptop,True,0.32,"Poor Sleep, Anxiety",Rural,Pre-Teen,Portable,High,weekend,Mostly Recreational,High Risk,1.2048484848484848,3.7651515151515147,1 hr 12 min,3 hr 46 min
13,Female,2.73,Smartphone,False,0.3,No Health Impact,Urban,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.6299999999999999,2.1,0 hr 38 min,2 hr 6 min
14,Male,5.77,Laptop,True,0.42,Poor Sleep,Rural,Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.706619718309859,4.06338028169014,1 hr 42 min,4 hr 4 min
10,Female,6.68,Smartphone,True,0.42,Poor Sleep,Urban,Pre-Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,1.9757746478873237,4.704225352112676,1 hr 59 min,4 hr 42 min
17,Male,3.74,TV,True,0.47,No Health Impact,Urban,Senior Teen,Other,Moderate,weekday,Mostly Recreational,Moderate Risk,1.1957823129251701,2.54421768707483,1 hr 12 min,2 hr 33 min
10,Female,9.33,Tablet,True,0.41,Poor Sleep,Rural,Pre-Teen,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,2.7129787234042553,6.617021276595745,2 hr 43 min,6 hr 37 min
12,Male,4.95,Smartphone,True,0.46,Poor Sleep,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.5595890410958906,3.3904109589041096,1 hr 34 min,3 hr 23 min
13,Male,4.66,Smartphone,True,0.48,Poor Sleep,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.5113513513513515,3.1486486486486487,1 hr 31 min,3 hr 9 min
16,Male,3.47,TV,True,0.39,"Poor Sleep, Eye Strain",Urban,Teen,Other,Moderate,weekday,Mostly Recreational,High Risk,0.9735971223021583,2.4964028776978417,0 hr 58 min,2 hr 30 min
12,Male,4.58,Smartphone,True,0.49,Obesity Risk,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.5061744966442954,3.073825503355705,1 hr 30 min,3 hr 4 min
8,Female,8.46,Smartphone,True,0.46,No Health Impact,Urban,Child,Portable,Very High,weekend,Mostly Recreational,Moderate Risk,2.665479452054795,5.794520547945206,2 hr 40 min,5 hr 48 min
11,Female,3.93,Smartphone,True,0.33,No Health Impact,Rural,Pre-Teen,Portable,Moderate,weekday,Mostly Recreational,Moderate Risk,0.9751127819548873,2.954887218045113,0 hr 59 min,2 hr 57 min
12,Male,5.47,Smartphone,True,0.33,Eye Strain,Urban,Pre-Teen,Portable,High,weekend,Mostly Recreational,Moderate Risk,1.3572180451127818,4.112781954887218,1 hr 21 min,4 hr 7 min
